meta_analysis_id,study_id,author,year,journal,pmid,country,intervention,intervention_dose,comparator,n_intervention,n_comparator,outcome_type,events_intervention,events_comparator,mean_intervention,sd_intervention,mean_comparator,sd_comparator,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,therapeutic_area,disease_indication,intervention_class,outcome_measure
CMETA003,RCT030,Garcia,2019,Lancet Respir Med,30901234,Spain,Nivolumab,240mg Q2W,Chemotherapy,368,365,survival,,,,,,,,0.72,0.59,0.87,24,63.3,10.5,69,70,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT031,Rodriguez,2021,JTO,32012345,Mexico,Atezolizumab,1200mg Q3W,Chemotherapy,325,322,survival,,,,,,,,0.78,0.65,0.94,24,64.7,9.2,66,73,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT032,Martinez,2020,Clin Cancer Res,31123456,Brazil,Atezolizumab,1200mg Q3W,Chemotherapy,295,292,survival,,,,,,,,0.76,0.63,0.92,24,62.9,11.1,68,69,Advanced,ECOG 1-2,low,unclear,low,low,low,low,low,unclear,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT033,Lopez,2019,ESMO Open,30234567,Chile,Durvalumab,10mg/kg Q2W,Chemotherapy,358,355,survival,,,,,,,,0.74,0.61,0.89,24,63.6,10.8,67,71,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT034,Gonzalez,2021,Cancer,32345678,Argentina,Durvalumab,10mg/kg Q2W,Chemotherapy,385,382,survival,,,,,,,,0.77,0.64,0.93,24,64.9,9.7,65,72,Advanced,ECOG 0-1,low,low,unclear,low,low,low,low,unclear,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT035,Hernandez,2020,Oncologist,31456789,Colombia,Pembrolizumab+Chemo,200mg+chemo,Chemotherapy,425,422,survival,,,,,,,,0.52,0.42,0.64,24,63.1,10.3,69,70,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT036,Perez,2019,Lung Cancer,30567890,Peru,Pembrolizumab+Chemo,200mg+chemo,Chemotherapy,365,362,survival,,,,,,,,0.55,0.45,0.68,24,64.4,9.9,68,73,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT037,Silva,2021,Target Oncol,32678901,Venezuela,Nivolumab+Ipilimumab,3mg/kg+1mg/kg,Chemotherapy,312,308,survival,,,,,,,,0.64,0.52,0.78,24,62.7,11.2,70,69,Advanced,ECOG 0-1,low,unclear,low,low,low,low,low,unclear,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT038,Costa,2020,Cancer Immunol Immunother,31789012,Portugal,Nivolumab+Ipilimumab,3mg/kg+1mg/kg,Chemotherapy,285,282,survival,,,,,,,,0.67,0.55,0.82,24,65.2,9.4,67,74,Advanced,ECOG 1-2,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT039,Santos,2019,Front Oncol,30890123,Italy,Cemiplimab,350mg Q3W,Chemotherapy,245,242,survival,,,,,,,,0.79,0.65,0.96,24,63.8,10.6,66,71,Advanced,ECOG 0-1,low,low,unclear,low,low,low,low,unclear,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT040,Rossi,2021,J Immunother Cancer,32901234,Greece,Cemiplimab,350mg Q3W,Chemotherapy,268,265,survival,,,,,,,,0.76,0.63,0.92,24,64.6,9.8,69,72,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA004,RCT041,Thompson,2019,Lancet,30123456,USA,Lisinopril,20mg daily,Placebo,1285,1278,continuous,,,125.2,12.8,138.5,13.2,,,,12,58.3,11.2,52,68,Mild-moderate HTN,None,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT042,Robinson,2020,Hypertension,31234567,UK,Lisinopril,20mg daily,Placebo,945,938,continuous,,,128.4,13.5,141.2,14.1,,,,12,60.1,10.8,48,72,Mild-moderate HTN,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT043,Clark,2018,J Hypertens,29345678,Canada,Lisinopril,20mg daily,Placebo,1125,1118,continuous,,,126.8,12.2,139.8,13.8,,,,12,57.9,11.5,54,70,Mild-moderate HTN,CKD,low,low,unclear,low,low,low,low,unclear,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT044,Lewis,2021,Am J Hypertens,32456789,Australia,Enalapril,10mg daily,Placebo,865,858,continuous,,,127.5,13.1,140.5,13.5,,,,12,59.2,10.3,51,69,Mild-moderate HTN,None,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT045,Walker,2019,Blood Press,30567890,Germany,Enalapril,10mg daily,Placebo,1045,1038,continuous,,,129.1,12.9,142.3,14.2,,,,12,58.7,11.8,53,71,Mild-moderate HTN,Diabetes,low,unclear,low,low,low,low,low,unclear,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT046,Hall,2020,Circulation,31678901,France,Ramipril,10mg daily,Placebo,1235,1228,continuous,,,124.8,12.5,137.9,13.6,,,,12,59.8,10.9,49,73,Mild-moderate HTN,CVD,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT047,Allen,2018,Eur Heart J,29789012,Spain,Ramipril,10mg daily,Placebo,925,918,continuous,,,126.3,13.8,139.6,14.5,,,,12,60.5,10.2,50,70,Mild-moderate HTN,Obesity,low,low,unclear,low,low,low,low,unclear,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT048,Young,2021,J Am Coll Cardiol,32890123,Italy,Perindopril,8mg daily,Placebo,1085,1078,continuous,,,127.9,12.4,140.8,13.9,,,,12,57.6,11.6,52,69,Mild-moderate HTN,None,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT049,King,2019,Am Heart J,30901234,Netherlands,Perindopril,8mg daily,Placebo,965,958,continuous,,,128.7,13.2,141.5,14.3,,,,12,59.3,10.7,51,72,Mild-moderate HTN,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA004,RCT050,Wright,2020,Blood Press Monit,31012345,Belgium,Trandolapril,4mg daily,Placebo,845,838,continuous,,,129.4,12.8,142.1,13.7,,,,12,58.1,11.3,53,68,Mild-moderate HTN,CKD,low,unclear,low,low,low,low,low,unclear,yes,yes,Cardiology,Essential hypertension,ACE inhibitor,SBP reduction mmHg
CMETA005,RCT051,Green,2019,Rheumatology,30234567,USA,Adalimumab,40mg Q2W,Placebo,318,315,binary,142,98,,,,,,,,,24,54.3,12.5,32,78,Moderate-severe,MTX-IR,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT052,Baker,2020,Ann Rheum Dis,31345678,UK,Adalimumab,40mg Q2W,Placebo,425,422,binary,195,128,,,,,,,,,24,52.8,13.2,28,75,Moderate-severe,MTX-IR,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT053,Adams,2018,Arthritis Rheumatol,29456789,Canada,Etanercept,50mg weekly,Placebo,365,362,binary,168,115,,,,,,,,,24,53.5,12.8,30,72,Moderate-severe,MTX-IR,low,low,unclear,low,low,low,low,unclear,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT054,Nelson,2021,Lancet Rheumatol,32567890,Australia,Etanercept,50mg weekly,Placebo,285,282,binary,132,88,,,,,,,,,24,51.9,13.5,29,76,Moderate-severe,MTX-IR,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT055,Carter,2019,Arthritis Care Res,30678901,Germany,Infliximab,3mg/kg Q8W,Placebo,445,442,binary,212,145,,,,,,,,,24,54.8,12.1,31,74,Moderate-severe,MTX-IR,low,unclear,low,low,low,low,low,unclear,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT056,Mitchell,2020,RMD Open,31789012,France,Infliximab,3mg/kg Q8W,Placebo,325,322,binary,155,105,,,,,,,,,24,53.2,13.3,33,71,Moderate-severe,MTX-IR,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT057,Perez,2018,J Rheumatol,29890123,Spain,Certolizumab,200mg Q2W,Placebo,395,392,binary,185,128,,,,,,,,,24,52.6,12.9,32,73,Moderate-severe,MTX-IR,low,low,unclear,low,low,low,low,unclear,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT058,Roberts,2021,Semin Arthritis Rheum,32901234,Italy,Certolizumab,200mg Q2W,Placebo,285,282,binary,135,92,,,,,,,,,24,54.1,12.4,29,75,Moderate-severe,MTX-IR,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT059,Phillips,2019,Clin Rheumatol,30012345,Japan,Golimumab,50mg monthly,Placebo,425,422,binary,198,135,,,,,,,,,24,53.8,13.1,27,82,Moderate-severe,MTX-IR,low,low,low,low,low,low,low,low,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA005,RCT060,Campbell,2020,Mod Rheumatol,31123456,South Korea,Golimumab,50mg monthly,Placebo,365,362,binary,172,118,,,,,,,,,24,52.3,12.7,31,85,Moderate-severe,MTX-IR,low,unclear,low,low,low,low,low,unclear,yes,yes,Rheumatology,Rheumatoid arthritis,Anti-TNF,ACR50 response
CMETA006,RCT061,Evans,2020,Gut,31345678,USA,Infliximab,5mg/kg Q8W,Placebo,245,242,binary,128,72,,,,,,,,,24,38.5,14.2,58,72,Moderate-severe,Prior TNF-naive,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,Anti-TNF,Clinical remission
CMETA006,RCT062,Edwards,2019,Lancet Gastroenterol Hepatol,30456789,UK,Infliximab,5mg/kg Q8W,Placebo,285,282,binary,152,88,,,,,,,,,24,36.8,15.1,62,68,Moderate-severe,Prior TNF-naive,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,Anti-TNF,Clinical remission
CMETA006,RCT063,Collins,2021,Aliment Pharmacol Ther,32567890,Canada,Adalimumab,40mg Q2W,Placebo,325,322,binary,168,98,,,,,,,,,24,39.2,13.8,56,70,Moderate-severe,Prior TNF-naive,low,low,unclear,low,low,low,low,unclear,yes,yes,Gastroenterology,Crohn disease,Anti-TNF,Clinical remission
CMETA006,RCT064,Stewart,2020,Inflamm Bowel Dis,31678901,Australia,Adalimumab,40mg Q2W,Placebo,285,282,binary,145,85,,,,,,,,,24,37.6,14.5,60,69,Moderate-severe,Prior TNF-naive,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,Anti-TNF,Clinical remission
CMETA006,RCT065,Sanchez,2019,Am J Gastroenterol,30789012,Spain,Vedolizumab,300mg Q4W,Placebo,365,362,binary,185,112,,,,,,,,,24,40.1,13.3,55,71,Moderate-severe,Prior TNF-fail,low,unclear,low,low,low,low,low,unclear,yes,yes,Gastroenterology,Crohn disease,Integrin inhibitor,Clinical remission
CMETA006,RCT066,Morris,2021,J Crohns Colitis,32890123,Germany,Vedolizumab,300mg Q4W,Placebo,425,422,binary,218,135,,,,,,,,,24,38.9,14.8,57,73,Moderate-severe,Prior TNF-fail,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,Integrin inhibitor,Clinical remission
CMETA006,RCT067,Rogers,2020,Clin Gastroenterol Hepatol,31901234,France,Ustekinumab,90mg Q8W,Placebo,285,282,binary,148,88,,,,,,,,,24,39.5,13.9,59,69,Moderate-severe,Prior TNF-fail,low,low,unclear,low,low,low,low,unclear,yes,yes,Gastroenterology,Crohn disease,IL-12/23 inhibitor,Clinical remission
CMETA006,RCT068,Reed,2019,Therap Adv Gastroenterol,30012345,Italy,Ustekinumab,90mg Q8W,Placebo,325,322,binary,165,102,,,,,,,,,24,37.2,15.2,61,70,Moderate-severe,Prior TNF-fail,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,IL-12/23 inhibitor,Clinical remission
CMETA006,RCT069,Cook,2021,Gastroenterology,32123456,Netherlands,Risankizumab,600mg Q4W,Placebo,245,242,binary,135,75,,,,,,,,,24,40.3,12.8,58,72,Moderate-severe,Prior TNF-fail,low,low,low,low,low,low,low,low,yes,yes,Gastroenterology,Crohn disease,IL-23 inhibitor,Clinical remission
CMETA006,RCT070,Morgan,2020,J Gastroenterol,31234567,Belgium,Risankizumab,600mg Q4W,Placebo,285,282,binary,158,88,,,,,,,,,24,38.6,14.1,60,68,Moderate-severe,Prior TNF-fail,low,unclear,low,low,low,low,low,unclear,yes,yes,Gastroenterology,Crohn disease,IL-23 inhibitor,Clinical remission
CMETA007,RCT071,Bell,2019,NEJM,30345678,USA,Semaglutide,1.0mg weekly,Placebo,865,858,continuous,,,7.2,1.2,8.1,1.3,,,,12,58.7,10.5,52,65,Type 2 diabetes,Metformin,low,low,low,low,low,low,low,low,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT072,Murphy,2020,Lancet Diabetes Endocrinol,31456789,UK,Semaglutide,1.0mg weekly,Placebo,1125,1118,continuous,,,7.4,1.1,8.3,1.2,,,,12,56.3,11.2,48,72,Type 2 diabetes,Metformin,low,low,low,low,low,low,low,low,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT073,Bailey,2018,Diabetes Care,29567890,Canada,Dulaglutide,1.5mg weekly,Placebo,925,918,continuous,,,7.6,1.3,8.5,1.4,,,,12,59.1,9.8,54,68,Type 2 diabetes,Metformin,low,low,unclear,low,low,low,low,unclear,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT074,Rivera,2021,Diabetes Obes Metab,32678901,Australia,Dulaglutide,1.5mg weekly,Placebo,1045,1038,continuous,,,7.3,1.2,8.2,1.3,,,,12,57.8,10.8,51,70,Type 2 diabetes,Metformin+SU,low,low,low,low,low,low,low,low,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT075,Foster,2019,JAMA,30789012,Germany,Liraglutide,1.8mg daily,Placebo,785,778,continuous,,,7.5,1.1,8.4,1.2,,,,12,58.3,11.1,53,71,Type 2 diabetes,Metformin,low,unclear,low,low,low,low,low,unclear,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT076,Jenkins,2020,BMJ,31890123,France,Liraglutide,1.8mg daily,Placebo,945,938,continuous,,,7.7,1.3,8.6,1.4,,,,12,56.9,10.3,49,69,Type 2 diabetes,Metformin+SU,low,low,low,low,low,low,low,low,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT077,Perry,2018,Diabetes Ther,29901234,Spain,Exenatide,2mg weekly,Placebo,685,678,continuous,,,7.8,1.2,8.7,1.3,,,,12,59.4,9.9,52,73,Type 2 diabetes,Metformin,low,low,unclear,low,low,low,low,unclear,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT078,Powell,2021,Endocrinol Diabetes Metab,32012345,Italy,Exenatide,2mg weekly,Placebo,825,818,continuous,,,7.4,1.1,8.3,1.2,,,,12,57.2,10.7,50,70,Type 2 diabetes,Metformin,low,low,low,low,low,low,low,low,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT079,Russell,2019,J Diabetes Complications,30123456,Japan,Albiglutide,30mg weekly,Placebo,725,718,continuous,,,7.6,1.3,8.5,1.4,,,,12,58.6,10.2,48,85,Type 2 diabetes,Metformin+SU,low,low,low,low,low,low,low,low,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA007,RCT080,Griffin,2020,Prim Care Diabetes,31234567,South Korea,Lixisenatide,20mcg daily,Placebo,565,558,continuous,,,7.9,1.2,8.8,1.3,,,,12,56.5,11.3,51,88,Type 2 diabetes,Metformin,low,unclear,low,low,low,low,low,unclear,yes,yes,Endocrinology,Type 2 diabetes,GLP-1 agonist,HbA1c reduction %
CMETA008,RCT081,Diaz,2020,Chest,31345678,USA,Tiotropium,18mcg daily,Placebo,1245,1238,continuous,,,242.5,68.3,285.8,72.1,,,,12,66.3,9.2,72,78,Moderate-severe COPD,FEV1 40-65%,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,COPD,LAMA,Annual exacerbations
CMETA008,RCT082,Reyes,2019,Lancet Respir Med,30456789,UK,Tiotropium,18mcg daily,Placebo,1485,1478,continuous,,,238.7,71.5,288.3,75.2,,,,12,64.8,10.1,68,75,Moderate-severe COPD,FEV1 40-65%,low,low,low,low,low,low,low,low,yes,yes,Pulmonology,COPD,LAMA,Annual exacerbations
